G/L 계정,name,대분류,중분류,설명,직접/영업,,,,,
53010101,工资,급여,급여,,영업,,,,,
53010103,直营店工资,급여,급여,,직접,,,,,
53030101,辞退福利,급여,급여,,영업,,,,,
55010101,公积金,복리비,보험/공적금,,,,,,,
55010103,社会保险费,복리비,보험/공적금,,,,,,,
55010105,福利费,복리비,직원복리비,,,,,,,
55010107,直营店社保及公积金,복리비,보험/공적금,,,,,,,
55010109,餐费,복리비,식대,,,,,,,
55010111,福利费\外籍人员福利费,복리비,주재원비용,,,,,,,
55010113,活动费,기타,행사비,,영업,,,,,
55030115,交通费,기타,여비교통비,,,,,,,
55030117,差旅费,출장비,국내출장비,,영업,,,,,
55030119,海外差旅费,출장비,해외출장비,,영업,,,,,
55050101,汽车使用费,기타,차량유지비,,,,,,,
55070101,通信费,기타,통신비,,,,,,,
55090101,水电费,임차료,전기수도,,,,,,,
55110101,办公费,기타,사무용품비,,,,,,,
55110103,货架费,진열/포장,진열소모품,,직접,,,,,
55110105,包装费,진열/포장,포장비,,직접,,,,,
55130101,主营业务税金及附加,세금과공과,세금과공과,,영업,,,,,
55130103,印花税,세금과공과,인지세,,영업,,,,,
55150101,印刷费,기타,인쇄비,,,,,,,
55170103,广告费_MKT宣传费,광고비,마케팅 홍보비,,영업,,,,,
55170105,广告费_品销宝,광고비,Tmall,pinxiaobao,직접,,,,,
55170107,广告费_直通车,광고비,Tmall,zhitongche,직접,,,,,
55170111,广告费_超级推荐,광고비,Tmall,chaojituijian ,직접,,,,,
55170113,广告费_直营门店广告费,광고비,직영점,,직접,,,,,
55170117,广告费_天猫站内投放,광고비,Tmall,플랫폼광고비,직접,,,,,
55170119,广告费_活动营销费,광고비,이벤트 마케팅,,직접,,,,,
55170121,广告费_淘宝客,광고비,Taobao,taobaoke,직접,,,,,
55170123,广告费_聚划算佣金保证金,광고비,Tmall,juhuasuan,직접,,,,,
55170129,广告费-京准通投放,광고비,JD,jingzhuntong,직접,,,,,
55170131,广告费-京挑客,광고비,JD,jingtaoke,직접,,,,,
55170133,广告费-抖音-巨量千川,광고비,틱톡,,직접,,,,,
55190101,业务招待费,기타,접대비,,,,,,,
