sap code,sap name(CN),sap name(KR),pkg code,pkg name(EN),pkg name(KO),연결계정과목,관리,재무
53010101,工资,인건비,510100,Salaries,급여,인건비,사용,사용
53010103,直营店工资,인건비_직영점,510100,Salaries,급여,인건비,사용,사용
53030101,辞退福利,퇴직급여,510100,Salaries,급여,인건비,사용,사용
55010101,公积金,복리후생비_공적금,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010103,社会保险费,복리후생비_사회보험,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010105,福利费,복리후생비,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010107,直营店社保及公积金,복리후생비_직영점사회보험및공적금,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010109,餐费,복리후생비_식대,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010111,福利费\外籍人员福利费,복리후생비_외국인직원복리,510600,Other employee benefits ,복리후생비,기타,사용,사용
55010113,活动费,복리후생비_활동비,510600,Other employee benefits ,복리후생비,기타,사용,사용
55030115,交通费,여비교통비_시내교통비,510700,Travel ,여비교통비,기타,사용,사용
55030117,差旅费,여비교통비_국내출장비,510700,Travel ,여비교통비,기타,사용,사용
55050101,汽车使用费,차량유지비,511700,Vehicles maintenance,차량유지비,기타,사용,사용
55070101,通信费,통신비,510800,Communications,통신비,기타,사용,사용
55090101,水电费,수도광열비,510900,Energies & Utilities ,수도광열비,기타,사용,사용
55110101,办公费,소모품비_사무용품,511800,Stationery and supplies,소모품비,기타,사용,사용
55110103,货架费,소모품비_매장소모품,511800,Stationery and supplies,소모품비,기타,사용,사용
55110105,包装费,소모품비_포장소모품,511900,Packaging,소모품비,기타,사용,사용
55130101,主营业务税金及附加,세금과공과,511000,Taxes and dues,세금과공과,기타,사용,사용
55130103,印花税,세금과공과_인화세,511000,Taxes and dues,세금과공과,기타,사용,사용
55150101,印刷费,인쇄비,511800,Stationery and supplies,소모품비,기타,사용,사용
55170103,广告费_MKT宣传费,광고선전비_MKT,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170105,广告费_品销宝,광고선전비_핀샤오바오,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170107,广告费_直通车,광고선전비_즈퉁처,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170111,广告费_超级推荐,광고선전비_차오지투이지앤,511500,Advertising ,광고선전비,광고선전비,사용,사용
55170113,广告费_直营门店广告费,광고선전비_직영점광고비,511500,Advertising ,광고선전비,광고선전비,사용,사용
